"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","1245312475","2056326025","50","1000","60000","Thread-Local"
"3-lock","768749991","289129305","50","1000","60000","Thread-Local"
"4-condition","1807812479","2879359217","100","1000","60000","Thread-Local"
"3-lock","671874985","305559718","100","1000","60000","Thread-Local"
"4-condition","2560937491","4039712335","150","1000","60000","Thread-Local"
"3-lock","1610937488","775184986","150","1000","60000","Thread-Local"
"4-condition","2901562480","4503199153","200","1000","60000","Thread-Local"
"3-lock","790624987","416245184","200","1000","60000","Thread-Local"
"4-condition","3365624981","5100697643","250","1000","60000","Thread-Local"
"3-lock","1014062488","521893859","250","1000","60000","Thread-Local"
"4-condition","2964062485","4509355199","300","1000","60000","Thread-Local"
"3-lock","1403124983","789095623","300","1000","60000","Thread-Local"
"4-condition","3235937491","5096425182","350","1000","60000","Thread-Local"
"3-lock","1356249980","742043070","350","1000","60000","Thread-Local"
"4-condition","3482812487","5306429969","400","1000","60000","Thread-Local"
"3-lock","1862499984","1075466661","400","1000","60000","Thread-Local"
"4-condition","3878124985","5935006748","450","1000","60000","Thread-Local"
"3-lock","1649999986","944315804","450","1000","60000","Thread-Local"
"4-condition","3945312478","6078417944","500","1000","60000","Thread-Local"
"3-lock","1756249987","1059876810","500","1000","60000","Thread-Local"
