"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","371874979","535406863","50","1000","20000","Global"
"3-lock","529687480","215453148","50","1000","20000","Global"
"4-condition","98437484","119942682","100","1000","20000","Global"
"3-lock","89062483","35842021","100","1000","20000","Global"
"4-condition","996874984","1473371836","150","1000","20000","Global"
"3-lock","549999984","311183428","150","1000","20000","Global"
"4-condition","1051562487","1518566535","200","1000","20000","Global"
"3-lock","407812482","226192109","200","1000","20000","Global"
"4-condition","846874990","1219438905","250","1000","20000","Global"
"3-lock","431249981","239056671","250","1000","20000","Global"
"4-condition","1282812487","1864524948","300","1000","20000","Global"
"3-lock","1117187486","679445918","300","1000","20000","Global"
"4-condition","104687487","160061489","350","1000","20000","Global"
"3-lock","165624986","62276987","350","1000","20000","Global"
"4-condition","1359374992","1938280215","400","1000","20000","Global"
"3-lock","1206249991","857541220","400","1000","20000","Global"
"4-condition","1287499986","1969303873","450","1000","20000","Global"
"3-lock","810937484","466919007","450","1000","20000","Global"
"4-condition","953124977","1320855883","500","1000","20000","Global"
"3-lock","842187486","486802310","500","1000","20000","Global"
