"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","228124983","283585054","50","1000","20000","Thread-Local"
"3-lock","184374986","77838892","50","1000","20000","Thread-Local"
"4-condition","432812479","637192258","100","1000","20000","Thread-Local"
"3-lock","503124993","229767434","100","1000","20000","Thread-Local"
"4-condition","721874982","958708377","150","1000","20000","Thread-Local"
"3-lock","507812485","247014114","150","1000","20000","Thread-Local"
"4-condition","404687491","606592885","200","1000","20000","Thread-Local"
"3-lock","384374985","201749563","200","1000","20000","Thread-Local"
"4-condition","499999981","742283636","250","1000","20000","Thread-Local"
"3-lock","309374991","172107373","250","1000","20000","Thread-Local"
"4-condition","885937485","1257794669","300","1000","20000","Thread-Local"
"3-lock","468749986","249258831","300","1000","20000","Thread-Local"
"4-condition","842187481","1154990143","350","1000","20000","Thread-Local"
"3-lock","674999978","365324396","350","1000","20000","Thread-Local"
"4-condition","1051562485","1571520516","400","1000","20000","Thread-Local"
"3-lock","773437488","477708393","400","1000","20000","Thread-Local"
"4-condition","1392187477","2121128880","450","1000","20000","Thread-Local"
"3-lock","656249983","420034678","450","1000","20000","Thread-Local"
"4-condition","1164062492","1714913443","500","1000","20000","Thread-Local"
"3-lock","631249986","381848541","500","1000","20000","Thread-Local"
