"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","2009374987","3459730550","50","1000","60000","Global"
"3-lock","1373437486","583614646","50","1000","60000","Global"
"4-condition","978124983","1549191156","100","1000","60000","Global"
"3-lock","612499985","232164875","100","1000","60000","Global"
"4-condition","2692187481","4075206862","150","1000","60000","Global"
"3-lock","2184374977","1191407738","150","1000","60000","Global"
"4-condition","3765624986","5647226850","200","1000","60000","Global"
"3-lock","1232812483","682227516","200","1000","60000","Global"
"4-condition","3210937480","4671876067","250","1000","60000","Global"
"3-lock","1182812488","633405141","250","1000","60000","Global"
"4-condition","3860937489","5632015883","300","1000","60000","Global"
"3-lock","1789062485","1054525629","300","1000","60000","Global"
"4-condition","665624983","971186203","350","1000","60000","Global"
"3-lock","393749980","134403093","350","1000","60000","Global"
"4-condition","4815624980","6573813443","400","1000","60000","Global"
"3-lock","1882812476","1148179728","400","1000","60000","Global"
"4-condition","4476562480","6601691902","450","1000","60000","Global"
"3-lock","3015624979","1838559598","450","1000","60000","Global"
"4-condition","4495312481","6732553218","500","1000","60000","Global"
"3-lock","3046874986","1750123373","500","1000","60000","Global"
